Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1107200000,-1.97192445,18.2535324,-64.15133182,88.77094418,-61.33194864,22.39129934,-12.05690694,20.32218715,
1107320000,-1.955990075,18.21238639,-59.34128064,73.07674437,-59.19709583,121.8359185,-12.07085253,20.13411434,
1107440000,-1.958510422,18.22422722,-60.68638417,-149.2515945,-55.0641534,-159.8480013,-12.03163533,19.78198943,
1107560000,-1.975653372,18.26412998,-67.16614275,101.2877884,-65.25252306,-89.65467329,-12.06510938,20.01120986,
1107680000,-1.950496832,18.32214541,-67.28650511,91.97097943,-53.38066693,-76.90422656,-12.05982837,19.52998192,
1107800000,-1.950937222,18.32351514,-59.38547826,-164.6905326,-55.43353761,121.0205905,-12.04927929,19.15981711,
1107920000,-1.945422526,18.08389661,-61.57326666,-98.01394353,-54.84455721,-117.2790565,-12.03881252,19.20856482,
1108040000,-1.946004187,18.12242099,-64.86587236,-158.06554,-68.05029647,-50.50867183,-12.04583454,19.21251926,
1108160000,-1.943433313,18.08353456,-58.91691118,-78.83783453,-60.08601384,-128.980138,-12.03746216,18.72224188,
1108280000,-1.959320652,18.07365209,-67.75327416,-55.01442829,-62.37643091,-110.5805255,-12.05470927,18.64823261,
1108400000,-1.966344208,18.08133817,-60.35295691,-105.5954584,-59.92535655,61.44298137,-12.04804866,18.34841823,
1108520000,-1.94988842,18.10958992,-60.74892886,84.40518314,-53.8126345,171.4701103,-12.08889997,18.23792126,
1108640000,-1.956642688,18.09527523,-79.28369183,146.0325806,-60.03610857,-55.77276527,-12.03029331,17.89126847,
1108760000,-1.945755423,18.02977457,-77.86828722,170.3240414,-64.12049891,-166.8437445,-12.00037753,17.67654356,
1108880000,-1.951572321,17.92716402,-67.87468,-98.3111656,-70.03225267,-109.0465892,-12.00797446,17.57050622,
1109000000,-1.943703026,17.92391252,-69.69209698,-123.4719848,-69.97106439,110.9589927,-12.00836732,17.27250545,
1109120000,-1.95014678,17.89894511,-58.24040619,-69.82624127,-60.30701159,145.6166389,-12.01393792,17.05678675,
1109240000,-1.936622887,18.06252509,-61.17609452,63.45390151,-59.50402501,68.31787491,-11.98210534,16.98041646,
1109360000,-1.942691227,18.02248839,-77.52578847,88.19262071,-76.96947099,-61.60976902,-12.02113667,16.84928203,
1109480000,-1.952301441,17.9641174,-59.20716463,94.84937275,-65.53229767,138.5079442,-11.96662679,16.37940445,
1109600000,-1.951972578,17.82652775,-69.18197058,-162.9194174,-66.40351581,140.2946512,-11.99466346,16.28490975,
1109720000,-1.938781524,17.92270216,-57.16356365,86.61248144,-64.38087477,9.414136824,-11.96215534,16.14410477,
1109840000,-1.945103128,17.82049729,-58.83942996,104.8406704,-68.17091178,66.12139645,-11.99520275,16.00897717,
1109960000,-1.942686606,17.92027967,-74.05826624,-68.49103399,-71.31148505,-143.2894532,-11.98102993,15.76851171,
1110080000,-1.961953944,17.67998724,-56.53981999,78.01545249,-69.48511372,179.8469639,-11.99124341,15.46978388,
1110200000,-1.995304511,18.13478146,-53.40206073,71.004967,-44.93665047,-178.8225739,-11.92149722,16.26106975,
1110320000,-1.968397182,17.74982465,-68.95049363,82.08935839,-64.07026432,-103.4320139,-11.99045271,15.03497886,
1110440000,-1.96534282,17.77526601,-61.67281811,-140.0537755,-58.0881814,133.853758,-11.97215806,14.88371342,
1110560000,-1.966902981,17.90692118,-72.32333212,165.2873967,-56.71446099,146.8863154,-11.99075172,14.92934081,
1110680000,-1.970622024,17.76361941,-61.68607015,90.8924614,-62.0615264,35.91137369,-11.99333996,14.88089075,
1110800000,-1.965317378,17.8458325,-65.38030009,116.0560926,-54.35110959,93.71483303,-11.95155345,14.38398313,
1110920000,-1.948192442,17.71671226,-66.72694795,-140.9415602,-59.43321661,-43.09905107,-11.93853382,14.24688132,
1111040000,-1.953381057,17.66742285,-63.11868853,-165.9514907,-58.59922135,-129.0385618,-11.96576557,13.81972995,
1111160000,-1.94837943,17.62973617,-65.3600447,-162.114088,-62.23811071,-9.233076486,-11.97882941,13.56374126,
1111280000,-1.964633092,17.54623077,-59.8520182,75.32220107,-69.37621636,143.4435959,-11.94767285,13.13783812,
1111400000,-1.962032592,17.53488864,-62.01555922,-30.26723261,-56.5471061,-20.65088132,-11.98995395,13.3333316,
1111520000,-1.970455124,17.62557708,-61.14240292,24.99064271,-62.9345623,122.7919131,-11.9633446,12.94932363,
1111640000,-1.964104246,17.60745355,-56.36762216,-20.56325754,-65.01303466,156.8103559,-11.94175086,13.06302847,
1111760000,-1.938327332,17.59869828,-64.90928217,101.7091543,-55.84823622,1.055329849,-11.94577866,12.96311562,
1111880000,-1.97594441,17.4884852,-71.5807686,175.8048017,-69.45012173,90.86224355,-11.93914398,12.74311861,
1112000000,-1.960304919,17.4333289,-57.97768562,52.10982673,-64.37006463,-28.5981729,-11.97679222,11.89064543,
1112120000,-1.959538759,17.40337376,-65.31038624,-166.7969324,-66.09842593,51.78043032,-11.95916454,11.84031553,
1112240000,-1.964200115,17.42452423,-61.47883437,-131.711103,-64.77459689,107.8146894,-11.94618535,11.74446441,
1112360000,-1.968527866,17.44647436,-64.57408922,13.60231498,-60.57366983,26.78299799,-11.94929756,11.83661415,
1112480000,-1.969014205,17.51463705,-57.54804027,98.50558805,-62.26295656,115.3531554,-11.91382218,11.62208775,
1112600000,-1.977497454,17.24486621,-63.18768079,-48.10442288,-47.18525229,-117.1362128,-11.82445408,10.6589256,
1112720000,-1.955990874,17.43663167,-64.35427508,176.6487095,-65.39102292,100.7119118,-11.86365578,11.01491695,
1112840000,-1.950712934,17.34923615,-62.06674976,-41.70713386,-55.0900885,-23.07814978,-11.90387412,10.70801975,
1112960000,-1.953146511,17.33179588,-75.93503215,-173.9889944,-57.4845796,-177.4681155,-11.87137049,10.72005355,
1113080000,-1.9473946,17.29332487,-60.47119411,-164.1491123,-57.04330591,-169.8450106,-11.91493127,10.09637352,
1113200000,-1.968918852,17.42104509,-66.49559629,168.3043844,-64.43915212,-73.36660396,-11.90954784,10.36065164,
1113320000,-1.968243637,17.31955102,-67.87343164,51.19813236,-58.290625,122.4599952,-11.91898199,10.0846471,
1113440000,-1.972790565,17.32389747,-60.9815023,106.3856135,-60.43062441,-147.435589,-11.90781709,9.975845223,
1113560000,-1.957305616,17.28764128,-65.14643733,-98.80361932,-59.14091166,-24.91784885,-11.93662821,9.395118307,
1113680000,-1.959348596,17.30724096,-57.54385684,50.58125537,-64.46272732,-77.92261059,-11.94994238,9.345940384,
1113800000,-1.958345598,17.26173325,-59.39995342,-81.9178824,-58.04720847,54.69294297,-11.92144501,9.0889829,
1113920000,-1.948810758,17.23786056,-55.57449431,38.97324274,-63.02243557,35.46093792,-11.83038709,9.025292278,
1114040000,-1.947798631,17.20771044,-55.80040122,58.56071602,-61.22739506,-97.00550637,-11.87755495,8.802032431,
1114160000,-1.967157613,17.14725165,-60.235268,-128.421197,-65.36376623,-62.5208988,-11.90636892,8.513430158,
1114280000,-1.953351275,17.02681586,-62.23244577,-100.6392239,-54.84131767,178.030541,-11.88521171,8.310933197,
1114400000,-1.962075139,17.11315208,-57.65898407,-21.96773325,-56.40322502,-107.8150856,-11.89869681,8.086783212,
1114520000,-1.959502729,17.14495829,-55.48467128,-154.433052,-59.31923812,138.5850063,-11.90863933,7.964293291,
1114640000,-1.976686921,17.14881597,-53.34886758,-156.30551,-57.43021461,166.9767622,-11.88159529,7.747516125,
1114760000,-1.972631562,17.17439308,-56.9290396,162.2857317,-70.57024605,-65.56208838,-11.91522109,7.547173154,
1114880000,-1.958747439,17.0803167,-68.4298978,-84.29950164,-62.42491644,5.775122279,-11.87483422,7.533432839,
1115000000,-1.981836166,17.11824221,-57.98096471,21.9770727,-64.03278433,172.009291,-11.87475165,7.168315531,
1115120000,-1.968281071,17.03950731,-67.65211366,112.7559476,-61.41943678,149.0809567,-11.86413003,7.296832781,
1115240000,-1.967021192,17.09347733,-69.60266596,-7.245248397,-54.68113929,10.92170418,-11.87265761,6.962371141,
1115360000,-1.967863765,16.94154623,-67.84005106,-70.13460968,-58.30883605,148.3441181,-11.86988537,6.712097173,
1115480000,-1.967318758,16.9675544,-64.32945712,-177.0882627,-59.8479501,156.9160948,-11.86063191,6.383264612,
1115600000,-1.964726683,16.85201815,-61.55744831,-59.52068618,-62.60138234,62.34239608,-11.8689827,6.077820775,
1115720000,-1.958713446,16.89655956,-66.94863133,-42.32305956,-61.31498716,-144.4057869,-11.8658543,6.046454555,
1115840000,-1.983190501,16.88734808,-71.55885391,167.1296172,-62.90620712,-150.1598595,-11.88423316,5.736934456,
1115960000,-1.986642209,16.79389807,-62.24240378,-42.24622737,-55.20778649,-171.8904543,-11.88207387,5.579132932,
1116080000,-1.970669245,16.88228005,-56.05914258,-70.39950237,-61.37162771,152.6440017,-11.89500203,5.306557854,
1116200000,-1.973130176,16.91478987,-59.21567304,131.0354128,-64.81870568,37.50395807,-11.84660603,5.47071802,
1116320000,-1.981080909,16.83034941,-58.51597266,88.39718709,-54.49408635,11.69132895,-11.88127661,5.055121175,
1116440000,-1.965859257,16.80183178,-59.81600754,60.49243861,-55.05857845,-145.1348679,-11.82810041,4.624896329,
1116560000,-1.959816806,16.84455681,-63.67674631,27.43667843,-62.56655547,-71.6261657,-11.82910298,4.585104868,
1116680000,-1.964305019,16.74631482,-62.00832969,-136.4539168,-64.65478206,-165.7106842,-11.81303071,4.269090531,
1116800000,-1.965423813,16.6562976,-63.02198179,-21.95149401,-62.19329932,37.76827409,-11.82884772,4.210547757,
1116920000,-1.975830514,16.72038212,-62.87488607,-159.0423001,-58.6314708,174.1557402,-11.85505685,3.978486704,
1117040000,-1.966790787,16.71090965,-67.62272491,29.38432544,-61.71134615,90.39637753,-11.83525613,4.011947853,
1117160000,-1.991081083,16.70731275,-56.40664385,-136.8789876,-62.10088782,46.57839365,-11.86931494,3.764291457,
1117280000,-1.976314542,16.62459486,-59.74307417,-148.3817887,-61.30587051,-159.3030734,-11.83131548,3.335145973,
1117400000,-1.950200594,16.54366533,-68.97157578,94.95803276,-64.93573814,51.40221394,-11.82037321,2.930760476,
1117520000,-1.945522824,16.62353521,-55.31541426,127.5470516,-58.44031114,-132.6125478,-11.82265125,2.937718768,
1117640000,-1.953786467,16.54034057,-69.8717981,80.70580983,-60.74972722,-155.4719513,-11.85614149,2.929229607,
1117760000,-1.960984294,16.48887133,-73.27257436,21.17537056,-62.30576006,91.07858417,-11.82449966,2.428795499,
1117880000,-1.968214588,16.36829385,-54.42981353,28.18152902,-63.95062928,-106.5688576,-11.81968964,2.469081567,
1118000000,-1.979989454,16.58226677,-55.81250098,60.85627288,-60.84292218,117.1803004,-11.81273608,2.340276583,
1118120000,-1.973614555,16.41387727,-61.69498616,-45.94971003,-59.59110822,-52.4577381,-11.86200109,1.715059635,
1118240000,-1.975421534,16.41491288,-63.10706281,-4.76377502,-58.92474859,56.01251617,-11.83185707,1.973333352,
1118360000,-1.977620866,16.46602032,-59.93601679,-14.26681297,-67.14879405,5.07330885,-11.82249689,1.301796035,
1118480000,-1.958745258,16.50158595,-57.43197481,-111.4807483,-66.25859893,-69.05349171,-11.82298153,1.643595506,
1118600000,-1.986363651,16.28463342,-61.02148799,-34.33999893,-59.16008078,-36.76561082,-11.82575675,1.207315036,
1118720000,-1.986959046,16.41874178,-59.51343446,94.15737476,-76.03977182,114.0252163,-11.79612186,0.9381835488,
1118840000,-1.978372967,16.37416441,-56.29128208,-142.1667968,-55.57054586,-179.1635947,-11.80210157,0.9035529865,
1118960000,-1.980582553,16.48704274,-62.03702059,160.4213626,-66.36280078,-85.40121757,-11.81572783,0.4095236598,
1119080000,-1.965161433,16.31846374,-67.27999363,-39.02153234,-60.02800903,128.4161919,-11.80915913,0.346839349,
1119200000,-1.987104329,16.34221076,-59.03751958,-57.23698803,-61.32808153,-60.38355917,-11.81528182,-0.04020028903,
1119320000,-1.943953075,16.32018427,-82.80631608,121.0914672,-56.53855208,-154.1088446,-11.78352241,0.08272385303,
1119440000,-1.956199634,16.19911387,-57.27434788,93.65358616,-62.40981364,56.33962197,-11.78146287,-0.2988054889,
1119560000,-1.955288863,16.19821878,-58.62466148,123.8573891,-53.85112997,-159.9133015,-11.79374317,-0.3182501952,
1119680000,-1.968539707,16.17313303,-69.97972505,163.5439199,-57.24714106,81.64316325,-11.78506754,-0.7580125146,
1119800000,-1.962229612,16.29218681,-85.97884709,97.78233053,-73.08207605,-74.77945529,-11.77425008,-0.8512614964,
1119920000,-1.965422425,16.1116222,-58.80708796,-7.745724648,-57.25900299,-55.84006459,-11.79163438,-0.8974465935,
1120040000,-1.981156997,16.05456377,-59.10276513,161.091422,-68.39460575,-4.021075518,-11.79227615,-1.354774667,
1120160000,-1.98281051,16.13514039,-61.33626611,161.8550621,-59.54408724,-20.54062814,-11.82117009,-1.410085458,
1120280000,-1.981376328,16.18325347,-70.05760029,8.731684511,-66.42778594,-144.1572262,-11.80119855,-1.618752119,
1120400000,-1.982681501,16.01790779,-64.36591275,123.3854995,-60.90476547,45.41679468,-11.78083051,-1.805315096,
1120520000,-1.987090074,16.20293298,-57.55349477,34.0861386,-56.22098384,137.9530292,-11.79177203,-1.861260476,
1120640000,-1.991198907,16.17429082,-66.76691895,31.84119448,-59.84299896,-32.10857561,-11.82853187,-1.914003975,
1120760000,-1.968955474,16.11718078,-69.65308378,147.3431224,-74.08176044,9.628095333,-11.76943641,-2.275055235,
1120880000,-1.978682398,16.13660963,-64.85856754,141.107027,-59.63193087,83.61370905,-11.76455056,-2.758011417,
1121000000,-1.96790416,16.01639895,-69.45256678,-48.06194115,-57.63278506,131.2605374,-11.73853139,-2.698785499,
1121120000,-1.97923774,15.92526181,-74.02641247,-169.6462366,-55.99872091,86.46667909,-11.77534375,-3.177010053,
1121240000,-1.968788789,15.92743047,-68.44103267,147.9227972,-68.97241865,-178.1723953,-11.78425587,-3.375694857,
1121360000,-1.981931293,15.9463086,-60.28240952,172.4375654,-66.89779573,-55.58282703,-11.78398547,-3.720337333,
1121480000,-1.9875185,15.92298007,-71.38296141,168.0477346,-66.09193904,-127.2436148,-11.82019614,-3.826583893,
1121600000,-1.971953971,15.93396502,-68.66246701,-125.3949557,-60.84405408,158.9368835,-11.74475811,-3.602065473,
1121720000,-1.977875781,15.75516458,-57.22627687,-177.472767,-60.55703593,-135.5622854,-11.78071454,-3.943360854,
1121840000,-1.991394193,15.7890768,-63.70735666,106.3389063,-62.79006509,-84.21412104,-11.7674377,-4.141706018,
1121960000,-1.978920968,15.85760164,-60.36144856,59.37303199,-64.56100551,-65.63057734,-11.74999066,-4.43395468,
1122080000,-1.987101403,15.77924581,-61.10698561,167.6980918,-54.79301218,-25.38520238,-11.77637646,-4.552213579,
1122200000,-1.99976721,15.79076536,-67.44644947,-82.8893221,-56.63487535,51.72529654,-11.77570146,-4.703318298,
1122320000,-1.984142038,15.8098597,-53.16346437,177.9272807,-85.31977486,-20.34547722,-11.76847015,-5.07816345,
1122440000,-1.975299823,15.73618164,-59.92018525,-21.74251539,-66.49718098,159.8155151,-11.76314956,-5.556417562,
1122560000,-1.958224936,15.71200784,-65.61549301,-77.48799068,-65.82642398,138.2416963,-11.74623995,-5.446071854,
1122680000,-1.991654319,15.62832596,-58.10250987,-113.1520508,-56.27630032,103.5065218,-11.75634602,-5.580200142,
1122800000,-1.965471455,15.86505185,-63.5678893,151.9030451,-61.11549632,115.6388038,-11.74722616,-5.521032732,
1122920000,-1.953031049,15.70999068,-66.00499663,-92.43504804,-60.46376622,6.597177795,-11.73664032,-6.168457804,
1123040000,-1.972256213,15.64450884,-63.17867976,54.30042624,-78.88830417,-107.9439063,-11.72029858,-6.462315306,
1123160000,-1.981931084,15.52841863,-64.42483681,-93.78138872,-68.34372486,15.00695999,-11.74667084,-6.645178219,
1123280000,-1.987414197,15.52742417,-71.57798048,-69.98490358,-63.74976881,-136.655978,-11.76359176,-6.548249831,
1123400000,-1.97840309,15.54880148,-66.04228307,127.5291483,-66.72862909,94.95445678,-11.74017329,-6.912744066,
1123520000,-1.983706211,15.54118586,-56.47053602,-22.31551877,-58.7923052,16.02719489,-11.76139797,-6.884964521,
1123640000,-2.000427337,15.67026785,-65.3318482,29.56017645,-59.57590187,173.3900754,-11.74613901,-6.876385697,
1123760000,-1.998234565,15.48471229,-58.95316501,-105.9401243,-54.85549482,105.4452424,-11.78093867,-7.331198574,
1123880000,-1.993302187,15.51835149,-62.02978332,108.1709697,-60.79863166,156.0165407,-11.75342865,-7.559250317,
1124000000,-1.983570535,15.61854327,-62.01844723,14.65697971,-61.13105308,44.92646702,-11.70832013,-7.900385916,
1124120000,-1.988496735,15.59173284,-63.95196358,-145.2670198,-56.34858552,-44.9543896,-11.72635344,-7.638473921,
1124240000,-1.968268125,15.53038047,-59.6364483,0.640732401,-67.1358845,39.80933494,-11.70841156,-7.959792822,
1124360000,-1.975050852,15.55997472,-58.88652985,161.2218556,-64.67617392,-56.84953468,-11.71385627,-8.299336639,
1124480000,-1.973822003,15.47263774,-68.03791317,63.39297777,-58.84105903,129.3427444,-11.67958547,-8.407401046,
1124600000,-1.97231704,15.34143069,-72.85285032,81.78763325,-59.50672024,-110.6302885,-11.74033065,-8.843259328,
1124720000,-1.987096614,15.48833321,-69.8113317,-119.7841479,-55.1045463,-145.6066998,-11.72926921,-8.866814661,
1124840000,-1.974935569,15.5066081,-57.19655044,68.61007654,-85.31375064,14.51534733,-11.72506301,-9.184947828,
1124960000,-1.976908174,15.49499312,-55.58435826,102.1480399,-64.97855904,-112.5405539,-11.70072376,-9.433933772,
1125080000,-1.977442171,15.23519424,-62.64197755,-168.6620948,-55.43637892,-3.304641476,-11.71212009,-9.403121022,
1125200000,-1.971207551,15.2999782,-67.38841612,-16.08451306,-68.53324556,-50.36403675,-11.6927536,-9.748899759,
1125320000,-1.981581849,15.30147867,-74.26630054,-43.22890681,-59.44618915,-84.15098904,-11.67767963,-9.944848201,
1125440000,-1.975221218,15.3156782,-59.4269721,102.3800775,-58.7183268,-95.63089554,-11.68326384,-10.20526454,
1125560000,-1.990084047,15.22447127,-61.39223227,28.17572654,-80.56468628,-17.49157122,-11.69267315,-10.56698302,
1125680000,-1.981989277,15.20696577,-67.02941239,-156.5513158,-69.68255246,-112.2383285,-11.72301979,-10.56522772,
1125800000,-1.981195009,15.15546474,-67.35095676,145.5249544,-63.91612753,112.8933078,-11.68720509,-11.03247045,
1125920000,-1.989447801,15.09138347,-60.93920162,90.28276797,-81.85546386,-57.01659125,-11.71607581,-11.15931266,
1126040000,-1.993781906,15.13269278,-76.32977911,-157.7255253,-65.04918075,38.58827151,-11.72541469,-11.37846237,
1126160000,-1.980753363,15.14700985,-67.13768326,98.17994731,-57.03946287,59.84534632,-11.68389985,-11.2752259,
1126280000,-1.988478435,15.22641793,-58.11981476,-68.9959986,-60.33800539,-132.8504449,-11.73305915,-11.67378976,
1126400000,-1.98781133,15.00348428,-64.34119815,178.4196017,-67.89230198,-52.80116026,-11.72457498,-11.70873978,
1126520000,-1.996558458,15.09000946,-68.3103532,140.5969854,-61.99784678,156.4877712,-11.72122799,-12.07035815,
1126640000,-1.998551813,15.17612474,-66.22794245,21.34941578,-64.56799492,73.15091735,-11.68538585,-12.18706179,
1126760000,-1.983500654,15.15073932,-62.83851219,170.3852852,-58.69530497,80.7719185,-11.67023342,-12.17966633,
1126880000,-1.979954106,15.07983593,-62.80223457,92.76716114,-60.24164407,55.92632507,-11.67344922,-12.64074224,
1127000000,-1.976737452,14.7880263,-57.52454992,145.9505791,-59.28492194,-91.18935477,-11.66476699,-12.98675817,
1127120000,-1.983895129,15.02926985,-63.47218951,-133.5118955,-69.42043275,96.94839576,-11.68159995,-12.81706595,
1127240000,-1.986763977,14.95049606,-62.25562194,6.570572428,-73.52317464,-147.486923,-11.67913307,-13.36590848,
1127360000,-1.988313795,14.77986798,-69.8448879,121.2977754,-55.59212975,-91.97136434,-11.70645995,-13.5932529,
1127480000,-2.003057011,14.93418389,-56.53912793,-146.0814597,-62.84158128,-178.2502117,-11.6989471,-13.59931357,
1127600000,-1.984016816,14.81561611,-74.51520577,163.6593134,-58.04564907,-67.76819312,-11.69038682,-13.99878429,
1127720000,-1.989746432,14.88794143,-60.75225359,-97.95455626,-70.08966535,-173.5433833,-11.68391156,-14.14218303,
1127840000,-2.015016451,14.88482105,-59.52961021,154.4881423,-56.52815926,-142.5175833,-11.6910369,-14.3527281,
1127960000,-1.995029593,14.85859399,-57.93810697,63.29551976,-73.78311008,77.05325561,-11.69277218,-14.21013298,
